"","Senator","State","first.party"
"1178","Edwin L. Mechem","New Mexico","Republican"
"1179","Return J. Meigs Jr.","Ohio","Democratic-Republican"
"1180","John Melcher","Montana","Democratic"
"1181","Prentiss Mellen","Massachusetts","Federalist"
"1182","David Meriwether","Kentucky","Democratic"
"1183","William D. Merrick","Maryland","Whig"
"1184","Augustus S. Merrimon","North Carolina","Democratic"
"1185","Jesse H. Metcalf","Rhode Island","Republican"
"1186","Lee Metcalf","Montana","Democratic"
"1187","Thomas Metcalfe","Kentucky","Whig"
"1188","Howard Metzenbaum","Ohio","Democratic"
"1189","Barbara Mikulski","Maryland","Democratic"
"1190","Joseph Millard","Nebraska","Republican"
"1191","John Milledge","Georgia","Democratic-Republican"
"1192","Bert H. Miller","Idaho","Democratic"
"1193","Homer V. M. Miller","Georgia","Democratic"
"1194","Jack Miller","Iowa","Republican"
"1195","Jacob W. Miller","New Jersey","Whig"
"1196","John E. Miller","Arkansas","Democratic"
"1197","John F. Miller","California","Republican"
"1198","Stephen D. Miller","South Carolina","Nullifier"
"1199","Warner Miller","New York","Republican"
"1200","Zell Miller","Georgia","Democratic"
"1201","Eugene D. Millikin","Colorado","Republican"
"1202","Elijah H. Mills","Massachusetts","Federalist"
"1203","Roger Q. Mills","Texas","Democratic"
"1204","John G. Milton","New Jersey","Democratic"
"1205","William H. Milton","Florida","Democratic"
"1206","Sherman Minton","Indiana","Democratic"
"1207","Charles B. Mitchel","Arkansas","Democratic"
"1208","George J. Mitchell","Maine","Democratic"
"1209","Hugh Mitchell","Washington","Democratic"
"1210","John H. Mitchell","Oregon","Republican"
"1211","John I. Mitchell","Pennsylvania","Republican"
"1212","John L. Mitchell","Wisconsin","Democratic"
"1213","Stephen Mix Mitchell","Connecticut","Federalist"
"1214","Samuel L. Mitchill","New York","Democratic-Republican"
"1215","Walter Mondale","Minnesota","Democratic"
"1216","Hernando Money","Mississippi","Democratic"
"1217","James Monroe","Virginia","Democratic-Republican"
"1218","Mike Monroney","Oklahoma","Democratic"
"1219","Joseph Montoya","New Mexico","Democratic"
"1220","Blair Moody","Michigan","Democratic"
"1221","Gideon C. Moody","South Dakota","Republican"
"1222","Wyman B. S. Moor","Maine","Democratic"
"1223","Andrew Moore","Virginia","Democratic-Republican"
"1224","A. Harry Moore","New Jersey","Democratic"
"1225","Edward H. Moore","Oklahoma","Republican"
"1226","Gabriel Moore","Alabama","Democratic"
"1227","James T. Morehead","Kentucky","Whig"
"1228","Edwin D. Morgan","New York","Republican"
"1229","John Tyler Morgan","Alabama","Democratic"
"1230","Robert B. Morgan","North Carolina","Democratic"
"1231","David L. Morril","New Hampshire","Democratic-Republican"
"1232","Justin S. Morrill","Vermont","Republican"
"1233","Lot M. Morrill","Maine","Republican"
"1234","Gouverneur Morris","New York","Federalist"
"1235","Robert Morris","Pennsylvania","Federalist"
"1236","Thomas Morris","Ohio","Democratic"
"1237","Cameron A. Morrison","North Carolina","Democratic"
"1238","Dwight Morrow","New Jersey","Republican"
"1239","Jeremiah Morrow","Ohio","Democratic-Republican"
"1240","Wayne L. Morse","Oregon","Republican"
"1241","Jackson Morton","Florida","Whig"
"1242","Oliver H. P. T. Morton","Indiana","Republican"
"1243","Thruston Ballard Morton","Kentucky","Republican"
"1244","Carol Moseley-Braun","Illinois","Democratic"
"1245","George H. Moses","New Hampshire","Republican"
"1246","John Moses","North Dakota","Democratic"
"1247","Frank Moss","Utah","Democratic"
"1248","Alexander Mouton","Louisiana","Democratic"
"1249","Daniel Patrick Moynihan","New York","Democratic"
"1250","Peter Muhlenberg","Pennsylvania","Democratic-Republican"
"1251","Frederick W. Mulkey","Oregon","Republican"
"1252","Karl Mundt","South Dakota","Republican"
"1253","Abe Murdock","Utah","Democratic"
"1254","Frank Murkowski","Alaska","Republican"
"1255","Edward Murphy Jr.","New York","Democratic"
"1256","George Murphy","California","Republican"
"1257","Maurice J. Murphy Jr.","New Hampshire","Republican"
"1258","Richard L. Murphy","Iowa","Democratic"
"1259","James Edward Murray","Montana","Democratic"
"1260","Edmund Muskie","Maine","Democratic"
"1261","Francis J. Myers","Pennsylvania","Democratic"
"1262","Henry L. Myers","Montana","Democratic"
"1263","Arnold Naudain","Delaware","National Republican"
"1264","Matthew M. Neely","West Virginia","Democratic"
"1265","Arthur E. Nelson","Minnesota","Republican"
"1266","Ben Nelson","Nebraska","Democratic"
"1267","Bill Nelson","Florida","Democratic"
"1268","Gaylord Nelson","Wisconsin","Democratic"
"1269","Knute Nelson","Minnesota","Republican"
"1270","James W. Nesmith","Oregon","Democratic"
"1271","Maurine Brown Neuberger","Oregon","Democratic"
"1272","Richard L. Neuberger","Oregon","Democratic"
"1273","Harry S. New","Indiana","Republican"
"1274","Truman Handy Newberry","Michigan","Republican"
"1275","Francis G. Newlands","Nevada","Democratic"
"1276","Robert C. Nicholas","Louisiana","Democratic"
"1277","Wilson Cary Nicholas","Virginia","Democratic-Republican"
"1278","Alfred O. P. Nicholson","Tennessee","Democratic"
"1279","Samuel D. Nicholson","Colorado","Republican"
"1280","Don Nickles","Oklahoma","Republican"
"1281","John Milton Niles","Connecticut","Democratic"
"1282","George S. Nixon","Nevada","Republican"
"1283","Richard M. Nixon","California","Republican"
"1284","James Noble","Indiana","National Republican"
"1285","Peter Norbeck","South Dakota","Republican"
"1286","George William Norris","Nebraska","Republican"
"1287","Moses Norris Jr.","New Hampshire","Democratic"
"1288","William North","New York","Federalist"
"1289","Daniel S. Norton","Minnesota","Republican"
"1290","John Norvell","Michigan","Democratic"
"1291","Thomas M. Norwood","Georgia","Democratic"
"1292","Amos Nourse","Maine","Republican"
"1293","John F. Nugent","Idaho","Democratic"
"1294","Sam Nunn","Georgia","Democratic"
"1295","Gerald P. Nye","North Dakota","Republican"
"1296","James W. Nye","Nevada","Republican"
"1297","Herbert R. O'Conor","Maryland","Democratic"
"1298","W. Lee O'Daniel","Texas","Democratic"
"1299","James Aloysius O'Gorman","New York","Democratic"
"1300","Joseph C. O'Mahoney","Wyoming","Democratic"
"1301","Barack Obama","Illinois","Democratic"
"1302","Tasker Oddie","Nevada","Republican"
"1303","Aaron Ogden","New Jersey","Federalist"
"1304","Richard James Oglesby","Illinois","Republican"
"1305","Simeon Olcott","New Hampshire","Federalist"
"1306","George T. Oliver","Pennsylvania","Republican"
"1307","Thomas W. Osborn","Florida","Republican"
"1308","Harrison Gray Otis","Massachusetts","Federalist"
"1309","Lee Slater Overman","North Carolina","Democratic"
"1310","John H. Overton","Louisiana","Democratic"
"1311","Robert L. Owen","Oklahoma","Democratic"
"1312","Bob Packwood","Oregon","Republican"
"1313","Algernon Paddock","Nebraska","Republican"
"1314","Carroll S. Page","Vermont","Republican"
"1315","John Page","New Hampshire","Democratic"
"1316","Elijah Paine","Vermont","Federalist"
"1317","John M. Palmer","Illinois","Democratic"
"1318","Thomas W. Palmer","Michigan","Republican"
"1319","William A. Palmer","Vermont","Democratic-Republican"
"1320","Nahum Parker","New Hampshire","Democratic-Republican"
"1321","Richard E. Parker","Virginia","Democratic"
"1322","Albion K. Parris","Maine","Democratic"
"1323","John F. Parrott","New Hampshire","Democratic-Republican"
"1324","Frank C. Partridge","Vermont","Republican"
"1325","Samuel Pasco","Florida","Democratic"
"1326","John O. Pastore","Rhode Island","Democratic"
"1327","William Paterson","New Jersey","Federalist"
"1328","David T. Patterson","Tennessee","Democratic"
"1329","James W. Patterson","New Hampshire","Republican"
"1330","John J. Patterson","South Carolina","Republican"
"1331","Roscoe C. Patterson","Missouri","Republican"
"1332","Thomas M. Patterson","Colorado","Democratic"
"1333","John Patton Jr.","Michigan","Republican"
"1334","Frederick G. Payne","Maine","Republican"
"1335","Henry B. Payne","Ohio","Democratic"
"1336","Thomas H. Paynter","Kentucky","Democratic"
"1337","Roger C. Peace","South Carolina","Democratic"
"1338","James Pearce","Maryland","Whig"
"1339","James B. Pearson","Kansas","Republican"
"1340","Henry R. Pease","Mississippi","Republican"
"1341","William A. Peffer","Kansas","Populist"
"1342","Claiborne Pell","Rhode Island","Democratic"
"1343","George H. Pendleton","Ohio","Democratic"
"1344","Isaac S. Pennybacker","Virginia","Democratic"
"1345","Boies Penrose","Pennsylvania","Republican"
"1346","Claude Pepper","Florida","Democratic"
"1347","George W. Pepper","Pennsylvania","Republican"
"1348","Charles H. Percy","Illinois","Republican"
"1349","Le Roy Percy","Mississippi","Democratic"
"1350","Bishop W. Perkins","Kansas","Republican"
"1351","George C. Perkins","California","Republican"
"1352","Kirtland I. Perky","Idaho","Democratic"
"1353","Richard F. Pettigrew","South Dakota","Republican"
"1354","John Pettit","Indiana","Democratic"
"1355","Edmund Pettus","Alabama","Democratic"
"1356","James D. Phelan","California","Democratic"
"1357","Samuel S. Phelps","Vermont","Whig"
"1358","Lawrence C. Phipps","Colorado","Republican"
"1359","Timothy Pickering","Massachusetts","Federalist"
"1360","Israel Pickens","Alabama","Democratic"
"1361","Franklin Pierce","New Hampshire","Democratic"
"1362","Gilbert A. Pierce","North Dakota","Republican"
"1363","Austin F. Pike","New Hampshire","Republican"
"1364","Samuel H. Piles","Washington","Republican"
"1365","Charles Pinckney","South Carolina","Democratic-Republican"
"1366","William B. Pine","Oklahoma","Republican"
"1367","William Pinkney","Maryland","Democratic-Republican"
"1368","Key Pittman","Nevada","Democratic"
"1369","Orville H. Platt","Connecticut","Republican"
"1370","Thomas C. Platt","New York","Republican"
"1371","James Pleasants","Virginia","Democratic-Republican"
"1372","Preston B. Plumb","Kansas","Republican"
"1373","William Plumer","New Hampshire","Federalist"
"1374","George Poindexter","Mississippi","Democratic"
"1375","Miles Poindexter","Washington","Republican"
"1376","Luke P. Poland","Vermont","Republican"
"1377","Trusten Polk","Missouri","Democratic"
"1378","William P. Pollock","South Carolina","Democratic"
"1379","Atlee Pomerene","Ohio","Democratic"
"1380","Samuel C. Pomeroy","Kansas","Republican"
"1381","John Pool","North Carolina","Republican"
"1382","James P. Pope","Idaho","Democratic"
"1383","John Pope","Kentucky","Democratic-Republican"
"1384","Alexander Porter","Louisiana","National Republican"
"1385","Augustus S. Porter","Michigan","Whig"
"1386","Thomas Posey","Louisiana","Democratic-Republican"
"1387","Charles E. Potter","Michigan","Republican"
"1388","Samuel J. Potter","Rhode Island","Democratic-Republican"
"1389","Richard Potts","Maryland","Federalist"
"1390","Lazarus W. Powell","Kentucky","Democratic"
"1391","Thomas C. Power","Montana","Republican"
"1392","Daniel D. Pratt","Indiana","Republican"
"1393","Thomas Pratt","Maryland","Whig"
"1394","Samuel Prentiss","Vermont","National Republican"
"1395","Larry Pressler","South Dakota","Republican"
"1396","William C. Preston","South Carolina","Nullifier"
"1397","Samuel Price","West Virginia","Democratic"
"1398","Oliver H. Prince","Georgia","Democratic"
"1399","Jeter C. Pritchard","North Carolina","Republican"
"1400","Redfield Proctor","Vermont","Republican"
"1401","Winston L. Prouty","Vermont","Republican"
"1402","William Proxmire","Wisconsin","Democratic"
"1403","David Pryor","Arkansas","Democratic"
"1404","Luke Pryor","Alabama","Democratic"
"1405","Mark Pryor","Arkansas","Democratic"
"1406","George E. Pugh","Ohio","Democratic"
"1407","James L. Pugh","Alabama","Democratic"
"1408","William E. Purcell","North Dakota","Democratic"
"1409","William A. Purtell","Connecticut","Republican"
"1410","Gladys Pyle","South Dakota","Republican"
"1411","Joseph V. Quarles","Wisconsin","Republican"
"1412","Matthew S. Quay","Pennsylvania","Republican"
"1413","Dan Quayle","Indiana","Republican"
"1414","George L. P. Radcliffe","Maryland","Democratic"
"1415","Samuel M. Ralston","Indiana","Democratic"
"1416","Alexander Ramsey","Minnesota","Republican"
"1417","Jennings Randolph","West Virginia","Democratic"
"1418","John Randolph of Roanoke","Virginia","Democratic"
"1419","Theodore Fitz Randolph","New Jersey","Democratic"
"1420","Joseph E. Ransdell","Louisiana","Democratic"
"1421","Matt W. Ransom","North Carolina","Democratic"
"1422","Robert Rantoul Jr.","Massachusetts","Democratic"
"1423","Joseph L. Rawlins","Utah","Democratic"
"1424","Charles A. Rawson","Iowa","Republican"
"1425","Isidor Rayner","Maryland","Democratic"
"1426","George Read","Delaware","Federalist"
"1427","Jacob Read","South Carolina","Federalist"
"1428","John H. Reagan","Texas","Democratic"
"1429","Alfred E. Reames","Oregon","Democratic"
"1430","Clyde M. Reed","Kansas","Republican"
"1431","David A. Reed","Pennsylvania","Republican"
"1432","James A. Reed","Missouri","Democratic"
"1433","Philip Reed","Maryland","Democratic-Republican"
"1434","Thomas Buck Reed","Mississippi","Democratic"
"1435","David S. Reid","North Carolina","Democratic"
"1436","Harry Reid","Nevada","Democratic"
"1437","Hiram Rhodes Revels","Mississippi","Republican"
"1438","W. Chapman Revercomb","West Virginia","Republican"
"1439","Robert Rice Reynolds","North Carolina","Democratic"
"1440","Samuel W. Reynolds","Nebraska","Republican"
"1441","Robert Rhett","South Carolina","Democratic"
"1442","Abraham A. Ribicoff","Connecticut","Democratic"
"1443","Benjamin F. Rice","Arkansas","Republican"
"1444","Henry Mower Rice","Minnesota","Democratic"
"1445","Harry A. Richardson","Delaware","Republican"
"1446","William Alexander Richardson","Illinois","Democratic"
"1447","George R. Riddle","Delaware","Democratic"
"1448","Harrison H. Riddleberger","Virginia","Readjuster"
"1449","Henry M. Ridgely","Delaware","Democratic"
"1450","Donald Riegle","Michigan","Democratic"
"1451","William C. Rives","Virginia","Democratic"
"1452","William N. Roach","North Dakota","Democratic"
"1453","William H. Roane","Virginia","Democratic"
"1454","Chuck Robb","Virginia","Democratic"
"1455","Asher Robbins","Rhode Island","National Republican"
"1456","Jonathan Roberts","Pennsylvania","Democratic-Republican"
"1457","A. Willis Robertson","Virginia","Democratic"
"1458","Edward V. Robertson","Wyoming","Republican"
"1459","Thomas J. Robertson","South Carolina","Republican"
"1460","Arthur R. Robinson","Indiana","Republican"
"1461","John M. Robinson","Illinois","Democratic"
"1462","Jonathan Robinson","Vermont","Democratic-Republican"
"1463","Joseph Taylor Robinson","Arkansas","Democratic"
"1464","Moses Robinson","Vermont","Democratic-Republican"
"1465","John M. Robsion","Kentucky","Republican"
"1466","Julius Rockwell","Massachusetts","Whig"
"1467","Jay Rockefeller","West Virginia","Democratic"
"1468","Caesar A. Rodney","Delaware","Democratic-Republican"
"1469","Daniel Rodney","Delaware","National Republican"
"1470","Edward H. Rollins","New Hampshire","Republican"
"1471","Elihu Root","New York","Republican"
"1472","Joseph Rosier","West Virginia","Democratic"
"1473","Edmund G. Ross","Kansas","Republican"
"1474","James Ross","Pennsylvania","Federalist"
"1475","Jonathan Ross","Vermont","Republican"
"1476","William V. Roth Jr.","Delaware","Republican"
"1477","John Rowan","Kentucky","Democratic"
"1478","Warren Rudman","New Hampshire","Republican"
"1479","Benjamin Ruggles","Ohio","Democratic-Republican"
"1480","John Ruggles","Maine","Democratic"
"1481","Thomas Jefferson Rusk","Texas","Democratic"
"1482","Donald S. Russell","South Carolina","Democratic"
"1483","Richard Russell Jr.","Georgia","Democratic"
"1484","John Rutherfurd","New Jersey","Federalist"
"1485","Dwight M. Sabin","Minnesota","Republican"
"1486","Frederic M. Sackett","Kentucky","Republican"
"1487","Ken Salazar","Colorado","Democratic"
"1488","Pierre Salinger","California","Democratic"
"1489","Leverett Saltonstall","Massachusetts","Republican"
"1490","Newell Sanders","Tennessee","Republican"
"1491","Wilbur F. Sanders","Montana","Republican"
"1492","Nathan Sanford","New York","Democratic-Republican"
"1493","Terry Sanford","North Carolina","Democratic"
"1494","Rick Santorum","Pennsylvania","Republican"
"1495","Paul Sarbanes","Maryland","Democratic"
"1496","Aaron Augustus Sargent","California","Republican"
"1497","Jim Sasser","Tennessee","Democratic"
"1498","Eli M. Saulsbury","Delaware","Democratic"
"1499","Willard Saulsbury Jr.","Delaware","Democratic"
"1500","Willard Saulsbury Sr.","Delaware","Democratic"
"1501","Alvin Saunders","Nebraska","Republican"
"1502","Frederick A. Sawyer","South Carolina","Republican"
"1503","Philetus Sawyer","Wisconsin","Republican"
"1504","William B. Saxbe","Ohio","Republican"
"1505","Thomas D. Schall","Minnesota","Republican"
"1506","Harrison Schmitt","New Mexico","Republican"
"1507","Andrew F. Schoeppel","Kansas","Republican"
"1508","James Schureman","New Jersey","Federalist"
"1509","Carl Schurz","Missouri","Republican"
"1510","Karl C. Schuyler","Colorado","Republican"
"1511","Philip Schuyler","New York","Federalist"
"1512","Henry H. Schwartz","Wyoming","Democratic"
"1513","Richard Schweiker","Pennsylvania","Republican"
"1514","Lewis B. Schwellenbach","Washington","Democratic"
"1515","Hugh Scott","Pennsylvania","Republican"
"1516","John Scott","Pennsylvania","Republican"
"1517","Nathan B. Scott","West Virginia","Republican"
"1518","W. Kerr Scott","North Carolina","Democratic"
"1519","William L. Scott","Virginia","Republican"
"1520","James G. Scrugham","Nevada","Democratic"
"1521","Fred A. Seaton","Nebraska","Republican"
"1522","William K. Sebastian","Arkansas","Democratic"
"1523","Theodore Sedgwick","Massachusetts","Federalist"
"1524","James Semple","Illinois","Democratic"
"1525","Jeff Sessions","Alabama","Republican"
"1526","Ambrose H. Sevier","Arkansas","Democratic"
"1527","William H. Seward","New York","Whig"
"1528","William J. Sewell","New Jersey","Republican"
"1529","Horatio Seymour","Vermont","Democratic-Republican"
"1530","John F. Seymour","California","Republican"
"1531","John F. Shafroth","Colorado","Democratic"
"1532","William Sharon","Nevada","Republican"
"1533","James Sheafe","New Hampshire","Federalist"
"1534","William P. Sheffield","Rhode Island","Republican"
"1535","Ether Shepley","Maine","Democratic"
"1536","Morris Sheppard","Texas","Democratic"
"1537","John Sherman","Ohio","Republican"
"1538","Lawrence Y. Sherman","Illinois","Republican"
"1539","Roger Sherman","Connecticut","Federalist"
"1540","James Shields","IllinoisMinnesotaMissouri","Democratic"
"1541","John K. Shields","Tennessee","Democratic"
"1542","Henrik Shipstead","Minnesota","Farmer-Laborite"
"1543","Benjamin F. Shively","Indiana","Democratic"
"1544","Samuel M. Shortridge","California","Republican"
"1545","Hugh Ike Shott","West Virginia","Republican"
"1546","George L. Shoup","Idaho","Republican"
"1547","Nathaniel Silsbee","Massachusetts","National Republican"
"1548","Furnifold M. Simmons","North Carolina","Democratic"
"1549","James F. Simmons","Rhode Island","Whig"
"1550","Joseph Simon","Oregon","Republican"
"1551","Paul Simon","Illinois","Democratic"
"1552","Alan K. Simpson","Wyoming","Republican"
"1553","Milward L. Simpson","Wyoming","Republican"
"1554","James H. Slater","Oregon","Democratic"
"1555","James M. Slattery","Illinois","Democratic"
"1556","John Slidell","Louisiana","Democratic"
"1557","George Smathers","Florida","Democratic"
"1558","William H. Smathers","New Jersey","Democratic"
"1559","Benjamin A. Smith II","Massachusetts","Democratic"
"1560","Daniel Smith","Tennessee","Democratic-Republican"
"1561","Delazon Smith","Oregon","Democratic"
"1562","Ellison D. Smith","South Carolina","Democratic"
"1563","Frank L. Smith","Illinois","Republican"
"1564","Gordon Smith","Oregon","Republican"
"1565","Howard Alexander Smith","New Jersey","Republican"
"1566","Israel Smith","Vermont","Democratic-Republican"
"1567","James Smith Jr.","New Jersey","Democratic"
"1568","John Smith","New York","Democratic-Republican"
"1569","John Smith","Ohio","Democratic-Republican"
"1570","John Walter Smith","Maryland","Democratic"
"1571","Marcus A. Smith","Arizona","Democratic"
"1572","Margaret Chase Smith","Maine","Republican"
"1573","M. Hoke Smith","Georgia","Democratic"
"1574","Nathan Smith","Connecticut","National Republican"
"1575","Oliver H. Smith","Indiana","Whig"
"1576","Perry Smith","Connecticut","Democratic"
"1577","Ralph Tyler Smith","Illinois","Republican"
"1578","Bob Smith","New Hampshire","Republican"
"1579","Samuel Smith","Maryland","Democratic-Republican"
"1580","Truman Smith","Connecticut","Whig"
"1581","William Smith","South Carolina","Democratic-Republican"
"1582","William Alden Smith","Michigan","Republican"
"1583","Willis Smith","North Carolina","Democratic"
"1584","Reed Smoot","Utah","Republican"
"1585","Olympia Snowe","Maine","Republican"
"1586","Pierre Soulé","Louisiana","Democratic"
"1587","Samuel L. Southard","New Jersey","Democratic-Republican"
"1588","John Sparkman","Alabama","Democratic"
"1589","Arlen Specter","Pennsylvania","Republican"
"1590","Jesse Speight","Mississippi","Democratic"
"1591","John S. Spence","Maryland","Whig"
"1592","George E. Spencer","Alabama","Republican"
"1593","G. Lloyd Spencer","Arkansas","Democratic"
"1594","Selden P. Spencer","Missouri","Republican"
"1595","William B. Spong Jr.","Virginia","Democratic"
"1596","John Coit Spooner","Wisconsin","Republican"
"1597","Peleg Sprague","Maine","National Republican"
"1598","William Sprague III","Rhode Island","Whig"
"1599","William Sprague IV","Rhode Island","Republican"
"1600","Presley Spruance","Delaware","Whig"
"1601","Watson C. Squire","Washington","Republican"
"1602","Robert Stafford","Vermont","Republican"
"1603","Robert N. Stanfield","Oregon","Republican"
"1604","William A. Stanfill","Kentucky","Republican"
"1605","Leland Stanford","California","Republican"
"1606","Augustus O. Stanley","Kentucky","Democratic"
"1607","Joseph Stanton Jr.","Rhode Island","Democratic-Republican"
"1608","Benjamin Stark","Oregon","Democratic"
"1609","Ozora P. Stearns","Minnesota","Republican"
"1610","Daniel F. Steck","Iowa","Democratic"
"1611","Frederick Steiwer","Oregon","Republican"
"1612","John C. Stennis","Mississippi","Democratic"
"1613","Hubert D. Stephens","Mississippi","Democratic"
"1614","Isaac Stephenson","Wisconsin","Republican"
"1615","Thomas Sterling","South Dakota","Republican"
"1616","Ted Stevens","Alaska","Republican"
"1617","Adlai Stevenson III","Illinois","Democratic"
"1618","John W. Stevenson","Kentucky","Democratic"
"1619","David Stewart","Maryland","Whig"
"1620","David W. Stewart","Iowa","Republican"
"1621","Donald W. Stewart","Alabama","Democratic"
"1622","John W. Stewart","Vermont","Republican"
"1623","Tom Stewart","Tennessee","Democratic"
"1624","William M. Stewart","Nevada","Republican"
"1625","Francis B. Stockbridge","Michigan","Republican"
"1626","John P. Stockton","New Jersey","Democratic"
"1627","Richard Stockton","New Jersey","Federalist"
"1628","Robert F. Stockton","New Jersey","Democratic"
"1629","Montfort Stokes","North Carolina","Democratic-Republican"
"1630","David Stone","North Carolina","Democratic-Republican"
"1631","Richard B. Stone","Florida","Democratic"
"1632","William J. Stone","Missouri","Democratic"
"1633","Clement Storer","New Hampshire","Democratic-Republican"
"1634","Thomas M. Storke","California","Democratic"
"1635","Luther Strange","Alabama","Republican"
"1636","Robert Strange","North Carolina","Democratic"
"1637","Caleb Strong","Massachusetts","Federalist"
"1638","Charles E. Stuart","Michigan","Democratic"
"1639","Daniel Sturgeon","Pennsylvania","Democratic"
"1640","Patrick J. Sullivan","Wyoming","Republican"
"1641","William V. Sullivan","Mississippi","Democratic"
"1642","Charles Sumner","Massachusetts","Free Soiler"
"1643","Thomas Sumter","South Carolina","Democratic-Republican"
"1644","John E. Sununu","New Hampshire","Republican"
"1645","George Sutherland","Utah","Republican"
"1646","Howard Sutherland","West Virginia","Republican"
"1647","Claude A. Swanson","Virginia","Democratic"
"1648","Benjamin Swift","Vermont","National Republican"
"1649","George R. Swift","Alabama","Democratic"
"1650","Stuart Symington","Missouri","Democratic"
"1651","Steven Symms","Idaho","Republican"
"1652","Horace Tabor","Colorado","Republican"
"1653","Kingsley A. Taft","Ohio","Republican"
"1654","Robert A. Taft","Ohio","Republican"
"1655","Robert Taft Jr.","Ohio","Republican"
"1656","Thomas Taggart","Indiana","Democratic"
"1657","Charles Tait","Georgia","Democratic-Republican"
"1658","Isham Talbot","Kentucky","Democratic-Republican"
"1659","Jim Talent","Missouri","Republican"
"1660","James Taliaferro","Florida","Democratic"
"1661","Nathaniel P. Tallmadge","New York","Democratic"
"1662","Herman Talmadge","Georgia","Democratic"
"1663","Benjamin Tappan","Ohio","Democratic"
"1664","Josiah Tattnall","Georgia","Democratic-Republican"
"1665","Glen H. Taylor","Idaho","Democratic"
"1666","John Taylor of Caroline","Virginia","Democratic-Republican"
"1667","John Taylor","South Carolina","Democratic-Republican"
"1668","Robert Love Taylor","Tennessee","Democratic"
"1669","Waller Taylor","Indiana","Democratic-Republican"
"1670","Henry Tazewell","Virginia","Democratic-Republican"
"1671","Littleton W. Tazewell","Virginia","Democratic"
"1672","Henry Moore Teller","Colorado","Republican"
"1673","John C. Ten Eyck","New Jersey","Republican"
"1674","Joseph M. Terrell","Georgia","Democratic"
"1675","John Milton Thayer","Nebraska","Republican"
"1676","Charles S. Thomas","Colorado","Democratic"
"1677","Craig Thomas","Wyoming","Republican"
"1678","Elbert D. Thomas","Utah","Democratic"
"1679","Jesse B. Thomas","Illinois","Democratic-Republican"
"1680","John W. Thomas","Idaho","Republican"
"1681","J. W. Elmer Thomas","Oklahoma","Democratic"
"1682","Philip Thomas","Maryland","Democratic"
"1683","Fountain L. Thompson","North Dakota","Democratic"
"1684","Fred Thompson","Tennessee","Republican"
"1685","John Burton Thompson","Kentucky","Whig"
"1686","Thomas W. Thompson","New Hampshire","Federalist"
"1687","William Henry Thompson","Nebraska","Democratic"
"1688","William Howard Thompson","Kansas","Democratic"
"1689","John R. Thomson","New Jersey","Democratic"
"1690","John R. Thornton","Louisiana","Democratic"
"1691","Buckner Thruston","Kentucky","Democratic-Republican"
"1692","Allen G. Thurman","Ohio","Democratic"
"1693","Strom Thurmond","South Carolina","Democratic"
"1694","John Thurston","Nebraska","Republican"
"1695","Edward John Thye","Minnesota","Republican"
"1696","Isaac Tichenor","Vermont","Federalist"
"1697","Edward Tiffin","Ohio","Democratic-Republican"
"1698","Benjamin Tillman","South Carolina","Democratic"
"1699","John Tipton","Indiana","Democratic"
"1700","Thomas Tipton","Nebraska","Republican"
"1701","Charles W. Tobey","New Hampshire","Republican"
"1702","Gideon Tomlinson","Connecticut","National Republican"
"1703","Robert Toombs","Georgia","Whig"
"1704","Robert Torricelli","New Jersey","Democratic"
"1705","Isaac Toucey","Connecticut","Democratic"
"1706","John Tower","Texas","Republican"
"1707","Charles A. Towne","Minnesota","Democratic"
"1708","Charles E. Townsend","Michigan","Republican"
"1709","John G. Townsend Jr.","Delaware","Republican"
"1710","Uriah Tracy","Connecticut","Federalist"
"1711","Park Trammell","Florida","Democratic"
"1712","Paul S. Trible Jr.","Virginia","Republican"
"1713","William A. Trimble","Ohio","Democratic-Republican"
"1714","James F. Trotter","Mississippi","Democratic"
"1715","George Troup","Georgia","Democratic-Republican"
"1716","Harry S. Truman","Missouri","Democratic"
"1717","Jonathan Trumbull Jr.","Connecticut","Federalist"
"1718","Lyman Trumbull","Illinois","Democratic"
"1719","Paul Tsongas","Massachusetts","Democratic"
"1720","James M. Tunnell","Delaware","Democratic"
"1721","John V. Tunney","California","Democratic"
"1722","Thomas B. Turley","Tennessee","Democratic"
"1723","George Turner","Washington","Silver Republican"
"1724","James Turner","North Carolina","Democratic-Republican"
"1725","Hopkins L. Turney","Tennessee","Democratic"
"1726","David Turpie","Indiana","Democratic"
"1727","Joseph D. Tydings","Maryland","Democratic"
"1728","Millard Tydings","Maryland","Democratic"
"1729","John Tyler","Virginia","Democratic"
"1730","Lawrence D. Tyson","Tennessee","Democratic"
"1731","Mark Udall","Colorado","Democratic"
"1732","William B. Umstead","North Carolina","Democratic"
"1733","Joseph R. Underwood","Kentucky","Whig"
"1734","Oscar Underwood","Alabama","Democratic"
"1735","Thomas R. Underwood","Kentucky","Democratic"
"1736","William Upham","Vermont","Whig"
"1737","Robert W. Upton","New Hampshire","Republican"
"1738","Martin Van Buren","New York","Democratic-Republican"
"1739","Nicholas Van Dyke","Delaware","Federalist"
"1740","Frederick Van Nuys","Indiana","Democratic"
"1741","Peter Van Winkle","West Virginia","Unconditional Unionist"
"1742","Charles Van Wyck","Nebraska","Republican"
"1743","Zebulon Baird Vance","North Carolina","Democratic"
"1744","Arthur H. Vandenberg","Michigan","Republican"
"1745","James Vardaman","Mississippi","Democratic"
